timestamp,gpu_power_w,frame_idx
2025-11-28 12:38:15.086,23341,-1
2025-11-28 12:38:15.597,32667,-1
2025-11-28 12:38:16.100,32856,-1
2025-11-28 12:38:16.604,32856,-1
2025-11-28 12:38:17.106,32780,3
2025-11-28 12:38:17.608,34472,13
2025-11-28 12:38:18.110,38490,21
2025-11-28 12:38:18.612,40721,29
2025-11-28 12:38:19.113,40204,36
2025-11-28 12:38:19.616,39254,44
2025-11-28 12:38:20.118,39331,49
2025-11-28 12:38:20.620,39156,55
2025-11-28 12:38:21.122,38253,61
2025-11-28 12:38:21.624,37648,66
2025-11-28 12:38:22.126,37642,72
2025-11-28 12:38:22.627,37437,77
2025-11-28 12:38:23.129,37429,83
2025-11-28 12:38:23.631,37481,89
2025-11-28 12:38:24.133,37341,94
2025-11-28 12:38:24.635,37529,100
2025-11-28 12:38:25.136,37531,105
2025-11-28 12:38:25.638,37354,110
2025-11-28 12:38:26.139,37134,115
2025-11-28 12:38:26.641,37508,120
2025-11-28 12:38:27.142,37643,125
2025-11-28 12:38:27.644,37643,129
2025-11-28 12:38:28.146,37733,134
2025-11-28 12:38:28.647,38203,139
2025-11-28 12:38:29.148,37885,143
2025-11-28 12:38:29.650,37716,148
2025-11-28 12:38:30.152,37729,152
2025-11-28 12:38:30.653,37612,157
2025-11-28 12:38:31.160,37874,162
2025-11-28 12:38:31.662,38032,167
2025-11-28 12:38:32.164,37796,171
2025-11-28 12:38:32.665,37629,176
2025-11-28 12:38:33.166,38356,182
2025-11-28 12:38:33.667,38483,188
2025-11-28 12:38:34.169,38725,192
2025-11-28 12:38:34.671,38140,196
2025-11-28 12:38:35.172,38236,202
2025-11-28 12:38:35.674,39898,209
2025-11-28 12:38:36.176,40791,215
2025-11-28 12:38:36.677,38914,219
2025-11-28 12:38:37.181,37241,223
2025-11-28 12:38:37.685,36833,227
2025-11-28 12:38:38.187,36833,233
2025-11-28 12:38:38.689,38133,238
2025-11-28 12:38:39.194,37530,243
2025-11-28 12:38:39.699,37390,247
2025-11-28 12:38:40.204,37518,252
2025-11-28 12:38:40.706,37449,256
2025-11-28 12:38:41.213,37538,261
2025-11-28 12:38:41.715,37637,265
2025-11-28 12:38:42.216,37773,270
2025-11-28 12:38:42.718,37899,274
2025-11-28 12:38:43.220,37555,279
2025-11-28 12:38:43.721,37555,284
2025-11-28 12:38:44.223,37569,288
2025-11-28 12:38:44.726,37211,293
2025-11-28 12:38:45.227,37032,298
2025-11-28 12:38:45.729,37075,302
2025-11-28 12:38:46.231,37313,307
2025-11-28 12:38:46.732,37493,312
2025-11-28 12:38:47.234,37486,316
2025-11-28 12:38:47.735,37048,321
2025-11-28 12:38:48.237,37108,326
2025-11-28 12:38:48.738,37241,331
2025-11-28 12:38:49.239,37316,336
2025-11-28 12:38:49.742,37316,341
2025-11-28 12:38:50.243,37592,346
2025-11-28 12:38:50.745,37679,351
2025-11-28 12:38:51.247,37619,355
2025-11-28 12:38:51.748,37555,361
2025-11-28 12:38:52.250,37538,365
2025-11-28 12:38:52.751,37167,370
2025-11-28 12:38:53.253,37084,375
2025-11-28 12:38:53.755,37195,379
2025-11-28 12:38:54.256,37207,384
2025-11-28 12:38:54.757,36891,390
2025-11-28 12:38:55.259,37018,395
2025-11-28 12:38:55.760,37180,400
2025-11-28 12:38:56.262,37427,404
2025-11-28 12:38:56.764,37586,409
2025-11-28 12:38:57.266,37339,414
2025-11-28 12:38:57.768,37338,419
2025-11-28 12:38:58.269,37484,424
2025-11-28 12:38:58.770,37657,429
2025-11-28 12:38:59.272,37648,434
2025-11-28 12:38:59.773,37302,440
2025-11-28 12:39:00.275,37382,445
2025-11-28 12:39:00.776,37382,450
2025-11-28 12:39:01.278,37282,455
2025-11-28 12:39:01.779,37408,460
2025-11-28 12:39:02.281,37520,465
2025-11-28 12:39:02.782,37365,471
2025-11-28 12:39:03.283,37300,475
2025-11-28 12:39:03.785,37507,480
2025-11-28 12:39:04.286,37435,485
2025-11-28 12:39:04.787,37343,491
2025-11-28 12:39:05.289,37300,496
2025-11-28 12:39:05.790,37335,500
2025-11-28 12:39:06.291,37416,505
2025-11-28 12:39:06.793,37385,510
2025-11-28 12:39:07.294,37349,516
2025-11-28 12:39:07.795,37271,521
2025-11-28 12:39:08.297,37364,525
2025-11-28 12:39:08.801,37523,530
2025-11-28 12:39:09.302,37319,536
2025-11-28 12:39:09.804,37123,541
2025-11-28 12:39:10.308,36977,546
2025-11-28 12:39:10.812,37168,551
2025-11-28 12:39:11.318,37169,556
2025-11-28 12:39:11.819,37169,561
2025-11-28 12:39:12.321,37009,566
2025-11-28 12:39:12.822,37271,571
2025-11-28 12:39:13.323,37292,576
2025-11-28 12:39:13.825,37591,582
2025-11-28 12:39:14.326,37636,587
2025-11-28 12:39:14.828,37666,592
2025-11-28 12:39:15.329,37927,597
2025-11-28 12:39:15.833,37982,602
2025-11-28 12:39:16.334,37973,606
2025-11-28 12:39:16.836,38155,611
2025-11-28 12:39:17.338,38027,615
2025-11-28 12:39:17.840,38032,619
2025-11-28 12:39:18.346,37894,623
2025-11-28 12:39:18.847,37789,628
2025-11-28 12:39:19.349,37778,632
2025-11-28 12:39:19.851,37660,638
2025-11-28 12:39:20.353,38978,643
2025-11-28 12:39:20.855,39022,647
2025-11-28 12:39:21.356,37864,652
2025-11-28 12:39:21.858,37743,656
2025-11-28 12:39:22.359,37803,660
2025-11-28 12:39:22.867,37803,665
2025-11-28 12:39:23.369,37938,669
2025-11-28 12:39:23.871,37683,674
2025-11-28 12:39:24.372,37439,678
2025-11-28 12:39:24.873,37486,683
2025-11-28 12:39:25.374,37683,688
2025-11-28 12:39:25.875,38100,693
2025-11-28 12:39:26.377,38243,697
2025-11-28 12:39:26.878,38275,702
2025-11-28 12:39:27.379,38639,707
